model,epoch,train_loss,val_loss,train_f1,val_f1,val_accuracy,val_precision,val_recall
BiLSTM,1,0.5085617547716413,0.40295544171333314,0.7398761144330266,0.828890266584005,0.816,0.7739507959479016,0.8922255588922255
BiLSTM,2,0.36256340742111204,0.3729346803029378,0.8452886247877759,0.8562437893342166,0.8553333333333333,0.8500493258796449,0.8625291958625292
BiLSTM,3,0.3035367993627276,0.35475845368703207,0.872316142378201,0.8588957055214724,0.8505,0.8125,0.9109109109109109
BiLSTM,4,0.23985661338056838,0.3252322367032369,0.9024537910894262,0.8777049180327869,0.8756666666666667,0.8627135030615534,0.8932265598932265
BiLSTM,5,0.18285537106650215,0.39066092054049173,0.9295240819537312,0.8734357674639632,0.8668333333333333,0.8314234016887817,0.91991991991992
BiLSTM,6,0.15374903920718602,0.3294864375591278,0.9416803483474909,0.8870168483647175,0.886,0.8783120706575074,0.8958958958958959
BiLSTM,7,0.12203052738734654,0.3572563490072886,0.9548539181370098,0.8924432838256896,0.8901666666666667,0.873482428115016,0.9122455789122456
BiLSTM,8,0.09483845032964434,0.38226705996195476,0.9652735643670367,0.8907478668228208,0.8911666666666667,0.8932885906040269,0.8882215548882215
BiLSTM,9,0.07601766921792712,0.4168641301790873,0.9722490088931748,0.8860504201680672,0.887,0.89265154080596,0.8795462128795463
BiGRU,1,0.527809955222266,0.38662382753690083,0.7276909254267745,0.8147357180993059,0.8265,0.8729977116704806,0.7637637637637638
BiGRU,2,0.3227210571425302,0.3088912266890208,0.8631001176177068,0.8761808367071525,0.8776666666666667,0.8860457181849198,0.8665331998665332
BiGRU,3,0.23193277524198805,0.2991463243961334,0.9073552983081032,0.883501464367068,0.8806666666666667,0.8621784693553509,0.9059059059059059
BiGRU,4,0.17453339898586273,0.3326011532942454,0.9331765209023842,0.8824649472044314,0.8868333333333334,0.9169064748201439,0.8505171838505172
BiGRU,5,0.13192369849341257,0.35213764977455136,0.9499624986606664,0.8908353609083536,0.8878333333333334,0.8667929292929293,0.9162495829162496
BiGRU,6,0.09809453594684601,0.3522190335591634,0.9639285714285715,0.8912896691424713,0.8926666666666667,0.9019473864024599,0.8808808808808809
BiGRU,7,0.0746787473303931,0.4536624121665955,0.973000035761542,0.8894618111504995,0.8856666666666667,0.8600810221252727,0.9209209209209209
BiGRU,8,0.06237528150422233,0.4412933621406555,0.9764235193255698,0.8831124117748321,0.8868333333333334,0.9121621621621622,0.8558558558558559
CNN-BiLSTM,1,0.49676406703676496,0.3848836354414622,0.7459986573861428,0.8336946423041189,0.821,0.777809881537128,0.8982315648982315
CNN-BiLSTM,2,0.2736937664747238,0.3170993553797404,0.8916468119910387,0.8604331385355792,0.8646666666666667,0.8872740163062743,0.8351685018351686
CNN-BiLSTM,3,0.1678829264981406,0.3120669051011403,0.937872037070041,0.8808341608738828,0.88,0.8738916256157635,0.8878878878878879
CNN-BiLSTM,4,0.10120505046844483,0.374616308371226,0.9657658944061686,0.8774434812170662,0.8798333333333334,0.8943173943173943,0.8611945278611945
CNN-BiLSTM,5,0.056559181634868894,0.44849291833241783,0.9819494584837545,0.8746145940390545,0.878,0.8986272439281943,0.8518518518518519
